hf_key,mlx_key,needs_transpose,param_type,notes
vision_tower.merger.ln_q.bias,vision.merger.ln.bias,no,Bias,Merger RMSNorm bias
vision_tower.merger.mlp.0.bias,vision.merger.mlp.0.bias,no,Bias,Merger MLP first bias
vision_tower.merger.mlp.2.bias,vision.merger.mlp.2.bias,no,Bias,Merger MLP second bias
vision_tower.patch_embed.patchifier.proj.bias,vision.patch_embed.proj.bias,no,Bias,Conv2d bias
vision_tower.patch_embed.patchifier.proj.weight,vision.patch_embed.proj.weight,no,Conv2d,k=s=14 conv
vision_tower.blocks.0.attn.proj.weight,vision.blocks.0.attn.proj.weight,no,Linear,Output projection
vision_tower.blocks.0.attn.qkv.weight,vision.blocks.0.attn.qkv.weight,no,Linear,Fused QKV
vision_tower.blocks.0.mlp.fc1.weight,vision.blocks.0.mlp.fc1.weight,no,Linear,SwiGLU up
vision_tower.blocks.0.mlp.fc2.weight,vision.blocks.0.mlp.fc2.weight,no,Linear,SwiGLU down (proj)
vision_tower.blocks.0.mlp.fc3.weight,vision.blocks.0.mlp.fc3.weight,no,Linear,SwiGLU gate
vision_tower.blocks.1.attn.proj.weight,vision.blocks.1.attn.proj.weight,no,Linear,Output projection
vision_tower.blocks.1.attn.qkv.weight,vision.blocks.1.attn.qkv.weight,no,Linear,Fused QKV
vision_tower.blocks.1.mlp.fc1.weight,vision.blocks.1.mlp.fc1.weight,no,Linear,SwiGLU up
vision_tower.blocks.1.mlp.fc2.weight,vision.blocks.1.mlp.fc2.weight,no,Linear,SwiGLU down (proj)
vision_tower.blocks.1.mlp.fc3.weight,vision.blocks.1.mlp.fc3.weight,no,Linear,SwiGLU gate
vision_tower.blocks.10.attn.proj.weight,vision.blocks.10.attn.proj.weight,no,Linear,Output projection
vision_tower.blocks.10.attn.qkv.weight,vision.blocks.10.attn.qkv.weight,no,Linear,Fused QKV
vision_tower.blocks.10.mlp.fc1.weight,vision.blocks.10.mlp.fc1.weight,no,Linear,SwiGLU up
vision_tower.blocks.10.mlp.fc2.weight,vision.blocks.10.mlp.fc2.weight,no,Linear,SwiGLU down (proj)
vision_tower.blocks.10.mlp.fc3.weight,vision.blocks.10.mlp.fc3.weight,no,Linear,SwiGLU gate
vision_tower.blocks.11.attn.proj.weight,vision.blocks.11.attn.proj.weight,no,Linear,Output projection
vision_tower.blocks.11.attn.qkv.weight,vision.blocks.11.attn.qkv.weight,no,Linear,Fused QKV
vision_tower.blocks.11.mlp.fc1.weight,vision.blocks.11.mlp.fc1.weight,no,Linear,SwiGLU up
vision_tower.blocks.11.mlp.fc2.weight,vision.blocks.11.mlp.fc2.weight,no,Linear,SwiGLU down (proj)
vision_tower.blocks.11.mlp.fc3.weight,vision.blocks.11.mlp.fc3.weight,no,Linear,SwiGLU gate
vision_tower.blocks.12.attn.proj.weight,vision.blocks.12.attn.proj.weight,no,Linear,Output projection
vision_tower.blocks.12.attn.qkv.weight,vision.blocks.12.attn.qkv.weight,no,Linear,Fused QKV
vision_tower.blocks.12.mlp.fc1.weight,vision.blocks.12.mlp.fc1.weight,no,Linear,SwiGLU up
vision_tower.blocks.12.mlp.fc2.weight,vision.blocks.12.mlp.fc2.weight,no,Linear,SwiGLU down (proj)
vision_tower.blocks.12.mlp.fc3.weight,vision.blocks.12.mlp.fc3.weight,no,Linear,SwiGLU gate
vision_tower.blocks.13.attn.proj.weight,vision.blocks.13.attn.proj.weight,no,Linear,Output projection
vision_tower.blocks.13.attn.qkv.weight,vision.blocks.13.attn.qkv.weight,no,Linear,Fused QKV
vision_tower.blocks.13.mlp.fc1.weight,vision.blocks.13.mlp.fc1.weight,no,Linear,SwiGLU up
vision_tower.blocks.13.mlp.fc2.weight,vision.blocks.13.mlp.fc2.weight,no,Linear,SwiGLU down (proj)
vision_tower.blocks.13.mlp.fc3.weight,vision.blocks.13.mlp.fc3.weight,no,Linear,SwiGLU gate
vision_tower.blocks.14.attn.proj.weight,vision.blocks.14.attn.proj.weight,no,Linear,Output projection
vision_tower.blocks.14.attn.qkv.weight,vision.blocks.14.attn.qkv.weight,no,Linear,Fused QKV
vision_tower.blocks.14.mlp.fc1.weight,vision.blocks.14.mlp.fc1.weight,no,Linear,SwiGLU up
vision_tower.blocks.14.mlp.fc2.weight,vision.blocks.14.mlp.fc2.weight,no,Linear,SwiGLU down (proj)
vision_tower.blocks.14.mlp.fc3.weight,vision.blocks.14.mlp.fc3.weight,no,Linear,SwiGLU gate
vision_tower.blocks.15.attn.proj.weight,vision.blocks.15.attn.proj.weight,no,Linear,Output projection
